# File: A321.subsector_logit.csv
# Title: Cement default subsector logit exponents
# Units: Unitless
# Column types: ccic
# ----------
supplysector,subsector,logit.exponent,logit.type
cement,cement,-12,
process heat cement,biomass,-6,
process heat cement,coal,-6,
process heat cement,gas,-6,
process heat cement,refined liquids,-6,
process heat cement,hydrogen,-6,
process heat cement CCS,biomass,-6,
process heat cement CCS,coal,-6,
process heat cement CCS,gas,-6,
process heat cement CCS,refined liquids,-6,
